P     N  Lbg | lands/h  p50min  p95min  maxmin | cpu/land   load rnd95
P515 q0.3 pf0.4 tf0.3 |    27.1     3.7     7.6 |      6.3
P525 q0.3 pf0.4 tf0.3 |    43.9     4.0     9.9 |      6.5
P540 q0.3 pf0.4 tf0.3 |    64.9     5.4    16.9 |      6.8
P215 q0.6 pf0.4 tf0.3 |    26.7     3.7     9.6 |      7.6
P225 q0.6 pf0.4 tf0.3 |    42.2     5.1    19.8 |     10.5
P240 q0.6 pf0.4 tf0.3 |    52.8    11.3    50.2 |     12.7
P315 q0.6 pf0.4 tf0.3 |    26.8     3.7     8.3 |      6.8
P325 q0.6 pf0.4 tf0.3 |    43.7     4.6    11.1 |      7.1
P340 q0.6 pf0.4 tf0.3 |    59.5     8.8    21.8 |      7.4
P515 q0.6 pf0.4 tf0.3 |    27.1     3.9     8.2 |      6.8
P525 q0.6 pf0.4 tf0.3 |    43.4     4.5    10.0 |      7.0
P540 q0.6 pf0.4 tf0.3 |    64.4     5.9    17.7 |      7.0
P215 q1.0 pf0.4 tf0.3 |    25.8     4.4    13.5 |      9.4
P225 q1.0 pf0.4 tf0.3 |    39.0     5.9    32.7 |     15.0
P240 q1.0 pf0.4 tf0.3 |    42.3    19.9    91.9 |     17.9
P315 q1.0 pf0.4 tf0.3 |    25.9     4.0     8.2 |      7.0
P325 q1.0 pf0.4 tf0.3 |    43.7     4.9    11.5 |      7.3
P340 q1.0 pf0.4 tf0.3 |    60.4     8.8    20.9 |      7.4
P515 q1.0 pf0.4 tf0.3 |    26.0     4.1     8.2 |      7.0
P525 q1.0 pf0.4 tf0.3 |    43.8     4.8    10.4 |      7.1
P540 q1.0 pf0.4 tf0.3 |    64.3     5.9    17.9 |      7.0
P215 q1.0 pf1.0 tf1.0 |    18.0     4.9    78.9 |     39.5
P225 q1.0 pf1.0 tf1.0 |    19.1    13.6   200.4 |     77.0
P240 q1.0 pf1.0 tf1.0 |    18.9    35.9   367.3 |     80.2
P315 q1.0 pf1.0 tf1.0 |    22.3     9.0    22.1 |     10.2
P325 q1.0 pf1.0 tf1.0 |    25.6    28.8    49.8 |     10.5
P340 q1.0 pf1.0 tf1.0 |    25.2    65.3    87.6 |     10.7
P515 q1.0 pf1.0 tf1.0 |    24.0     7.3    13.1 |      8.8
P525 q1.0 pf1.0 tf1.0 |    38.7     8.2    14.7 |      8.2
P540 q1.0 pf1.0 tf1.0 |    59.2     9.5    18.8 |      7.4
P015 T15 |     4.5    17.9   655.8 |    169.0
P025 T15 |     2.8    28.7  1645.4 |    270.8
P115 T15 |     4.4     0.4   688.1 |     85.1
P125 T15 |     2.9     0.2  1634.7 |    131.2
P215 T15 |    46.1     4.0    11.8 |      7.5
P225 T15 |    59.9     8.3    30.2 |      9.7
