# branch	sha	stranded	landed	last_commit_utc	verdict
claude/fire-20260817T183537Z-53684-1	ce0e5d2e898c8d7aac35997a47378ef4758dec69	1	0	2026-08-17T19:20:21Z	HOLD-stranded
claude/fire-20260817T184239Z-66550-1	a44c9d21e02f1918780afb1ba369ac3be8ff3429	1	0	2026-08-17T18:51:48Z	HOLD-stranded
claude/fire-20260817T185503Z-39628-1	ecd96c5ca7b80dbda3ead29257e6fe030b9ba613	1	0	2026-08-17T19:00:50Z	HOLD-stranded
claude/fire-20260818T005301Z-1660-1	4da7836cf779c1ed713d4a0774e37e505c10ec9b	0	1	2026-08-18T01:18:36Z	PRUNE
claude/fire-20260818T031629Z-40497-1	8c9250ccd07bec2b9cf7605f8ea98b2f6d792d66	2	0	2026-08-18T04:04:46Z	HOLD-stranded
claude/fire-20260818T075756Z-6910-1	739bc469e6a4b6bed149f35e5901e61b78e7b9af	1	0	2026-08-18T08:06:40Z	HOLD-stranded
claude/fire-20260818T080549Z-15840-1	b47c9bceefafc8e9338ca83d3ca4eabbf21050eb	1	0	2026-08-18T08:11:46Z	HOLD-stranded
claude/fire-20260818T150525Z-17986-1	f323592d528c81fd604f51692485ee097389a608	1	0	2026-08-18T15:12:31Z	HOLD-stranded
claude/fire-20260818T150603Z-50120-1	2da8d1d22f2aa49effa413287137ec655efd3bf4	1	0	2026-08-18T15:40:00Z	HOLD-stranded
claude/fire-20260819T093421Z-19124-1	73e68568f010376bc23e7739d184385a38604a5e	1	0	2026-08-19T09:38:52Z	HOLD-stranded
claude/fire-20260819T094214Z-81627-1	66d78f4b5b36074bf184f357a5151aaaa78dee71	1	0	2026-08-19T10:21:55Z	HOLD-stranded
claude/fire-20260819T112705Z-18935-1	313deacd1fef0cf2d339c0fefa69ed20eea72adc	1	0	2026-08-19T11:33:36Z	HOLD-stranded
claude/fire-20260819T122908Z-12571-1	4de08c8b1e703398aa6ab1a5c9fd0afbb5a97720	1	0	2026-08-19T12:39:50Z	HOLD-stranded
claude/fire-20260819T132512Z-24086-1	64be0bc3d5b12d50e89b0229a78b653e722f4ac5	1	0	2026-08-19T13:26:47Z	HOLD-stranded
wt-b4f93c9fa73c	5d25c9a858e37afbdd589d38ee3347b02a3f027a	0	9	2026-08-10T07:05:53Z	PRUNE
